pmra,pmde,jmag,ra,de,pmr_mas,pmd_mas,pmr_corr_mas,pmd_corr_mas
5.666669999999999483e-07,2.261110000000000108e-06,1.892899999999999849e+01,2.229637500000000045e+02,5.772500000000000142e+01,2.040001199999999848e+00,8.139996000000000009e+00,4.284598350524902344e+00,7.477138519287109375e+00
-1.250000000000000102e-06,-2.730559999999999908e-06,1.882199999999999918e+01,1.914966666666670108e+02,1.220722222222219955e+01,-4.500000000000000000e+00,-9.830016000000000531e+00,-2.114614009857177734e+00,-6.134688377380371094e+00
1.799999999999999919e-06,7.222219999999999406e-08,1.877799999999999869e+01,1.360175000000000125e+02,3.308111111111109892e+01,6.480000000000000426e+00,2.599999299999999902e-01,8.578969001770019531e+00,3.221989870071411133e+00
-2.313890000000000135e-06,1.097219999999999974e-06,1.874099999999999966e+01,2.178541666666669983e+02,4.946694444444450056e+01,-8.330004000000000630e+00,3.949991999999999948e+00,-6.241335868835449219e+00,4.137435436248779297e+00
-1.900000000000000020e-06,-2.566669999999999941e-06,1.852700000000000102e+01,3.585741666666669971e+02,1.397000000000000064e+01,-6.839999999999999858e+00,-9.240012000000000114e+00,-8.010032653808593750e+00,-5.763973236083984375e+00
-6.333329999999999974e-07,-1.608329999999999897e-06,1.842599999999999838e+01,1.824362500000000011e+02,2.238500000000000156e+01,-2.279998799999999992e+00,-5.789988000000000135e+00,-9.675721079111099243e-02,-2.169861793518066406e+00
-4.047219999999999682e-06,-3.663889999999999915e-06,1.836799999999999855e+01,2.371279166666670051e+02,1.997444444444440137e+01,-1.456999199999999917e+01,-1.319000400000000006e+01,-1.226166820526123047e+01,-1.024672222137451172e+01
-1.211109999999999997e-06,1.027779999999999956e-07,1.827499999999999858e+01,1.529741666666670028e+02,6.453222222222220239e+01,-4.359995999999999761e+00,3.700008000000000186e-01,-2.208373069763183594e+00,1.390223503112792969e+00
-2.355560000000000110e-06,2.861109999999999869e-07,1.824500000000000099e+01,1.253058333333329983e+02,2.485138888888889852e+01,-8.480016000000000886e+00,1.029999600000000015e+00,-6.540824890136718750e+00,3.849144220352172852e+00
-4.388890000000000067e-07,-1.486109999999999905e-06,1.809100000000000108e+01,1.842979166666669926e+02,2.184916666666670082e+01,-1.580000400000000083e+00,-5.349995999999999974e+00,6.477416753768920898e-01,-1.695860981941223145e+00
6.472219999999999969e-07,-5.611110000000000010e-07,1.805600000000000094e+01,2.460712499999999920e+02,1.707138888888890094e+01,2.329999200000000048e+00,-2.019999499999999948e+00,4.516093730926513672e+00,6.803988218307495117e-01
-6.111110000000000252e-08,-1.361109999999999937e-07,1.802299999999999969e+01,1.208345833333330006e+02,2.976333333333329989e+01,-2.199999699999999891e-01,-4.899995999999999796e-01,1.435058116912841797e+00,2.077289104461669922e+00
2.519439999999999802e-06,3.888889999999999958e-08,1.799800000000000111e+01,1.727499999999999858e+01,-9.480277777777779136e+00,9.069983499999999310e+00,1.400000299999999975e-01,6.074460506439208984e+00,4.449302196502685547e+00
1.530559999999999962e-06,4.166670000000000080e-07,1.794200000000000017e+01,1.505579166666670119e+02,4.949277777777780329e+01,5.510016000000000247e+00,1.500001200000000035e+00,7.669746398925781250e+00,3.366087198257446289e+00
-9.361110000000000105e-07,-9.916669999999999026e-07,1.788800000000000168e+01,1.369312500000000057e+02,1.255333333333330081e+01,-3.369999599999999873e+00,-3.570001099999999816e+00,-1.062036871910095215e+00,-3.558328449726104736e-01
-1.069439999999999920e-06,1.541670000000000013e-06,1.787900000000000134e+01,1.457279166666669994e+02,2.243555555555559877e+01,-3.849984200000000190e+00,5.550011999999999723e+00,-1.767129182815551758e+00,8.822752952575683594e+00
-2.388889999999999840e-06,-8.333329999999999884e-07,1.786899999999999977e+01,3.101312500000000227e+02,-3.238861111111110347e+01,-8.600004000000000204e+00,-2.999998800000000188e+00,-1.083951854705810547e+01,-9.071310162544250488e-01
1.694439999999999918e-07,-1.388890000000000071e-08,1.784499999999999886e+01,1.792512499999999989e+02,4.858722222222220211e+01,6.099983500000000225e-01,-5.000003799999999665e-02,2.284913778305053711e+00,1.161029219627380371e+00
-6.888889999999999954e-07,-2.325000000000000186e-06,1.780999999999999872e+01,1.236079166666669948e+02,2.968750000000000000e+01,-2.480000299999999935e+00,-8.369999999999999218e+00,-6.536914110183715820e-01,-5.707995891571044922e+00
-2.033330000000000063e-06,1.519440000000000059e-06,1.778900000000000148e+01,1.187566666666670017e+02,3.559611111111109949e+01,-7.319988300000000336e+00,5.469984000000000179e+00,-5.687274456024169922e+00,7.962446212768554688e+00
-6.388890000000000506e-08,-7.722219999999999648e-07,1.778699999999999903e+01,2.606395833333330074e+02,2.724388888888890037e+01,-2.300000299999999942e-01,-2.779999300000000062e+00,9.444051980972290039e-02,-3.021707534790039062e-01
2.138889999999999904e-07,-1.427779999999999991e-06,1.778099999999999881e+01,4.728125000000000000e+01,4.052777777777780144e-01,7.700004000000000293e-01,-5.140007999999999910e+00,-2.066504955291748047e+00,-1.338862180709838867e+00
-1.111109999999999896e-06,1.172220000000000103e-06,1.778000000000000114e+01,1.622183333333329927e+02,1.444305555555560083e+01,-3.999995999999999885e+00,4.219992000000000409e+00,-2.098351478576660156e+00,7.559385776519775391e+00
4.472220000000000060e-07,3.527780000000000108e-07,1.775499999999999901e+01,2.877729166666670153e+02,6.771416666666669926e+01,1.609999200000000075e+00,1.270000800000000041e+00,1.242627859115600586e+00,2.275741577148437500e+00
